call1_model,strategy,cases,expected_cases,found_cases,missing_cases,generation_coverage,D1_mean_best_score,D1_coverage,D1_precision,D1_f1,D2_mean_best_score,D2_coverage,D2_precision,D2_f1,D3_mean_best_score,D3_coverage,D3_precision,D3_f1,D4_order_score,D4_order_coverage,D4_strict_order_score,overall_mean_score,overall_with_D4_score,end_to_end_overall_mean_score,end_to_end_overall_with_D4_score,D1_global_assumption_mean_best_score,D1_global_assumption_recall,D1_global_assumption_precision,D1_global_assumption_f1,D1_local_assumption_mean_best_score,D1_local_assumption_recall,D1_local_assumption_precision,D1_local_assumption_f1,D1_gt_precondition_mean_best_score,D1_gt_precondition_recall,D1_gt_precondition_precision,D1_gt_precondition_f1,D1_previous_outcome_mean_best_score,D1_previous_outcome_recall,D1_previous_outcome_precision,D1_previous_outcome_f1
deepseek-r1-1.5b,self,2,2,2,0,1.000000,0.501638,0.297222,0.666667,0.362413,0.453199,0.100000,0.333334,0.153846,0.620827,0.650000,1.000000,0.730769,0.500000,0.500000,0.500000,0.525222,0.518916,0.525222,0.518916,0.430963,0.000000,0.000000,0.000000,0.755545,1.000000,0.500000,0.666667,0.507339,0.357143,0.666667,0.420455,0.447438,0.000000,0.000000,0.000000
deepseek-r1-7b,acc,2,2,2,0,1.000000,0.518791,0.347222,1.000000,0.507692,0.613270,0.550000,0.666667,0.576923,0.587537,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.573199,0.554899,0.573199,0.554899,0.216566,0.000000,0.000000,0.000000,0.922349,1.000000,1.000000,1.000000,0.586429,0.428571,1.000000,0.596491,0.273124,0.000000,0.000000,0.000000
deepseek-r1-7b,gtf,2,2,2,0,1.000000,0.514934,0.347222,0.916667,0.500000,0.505035,0.300000,0.333334,0.312500,0.725701,0.650000,0.833333,0.706897,0.500000,0.500000,0.500000,0.581890,0.561418,0.581890,0.561418,0.000000,0.000000,0.000000,0.000000,0.987911,1.000000,1.000000,1.000000,0.592007,0.428571,0.916667,0.583333,0.343534,0.000000,0.000000,0.000000
deepseek-r1-7b,self,2,2,2,0,1.000000,0.601566,0.452778,1.000000,0.616402,0.535756,0.400000,0.500000,0.406896,0.710241,0.650000,0.666667,0.657895,1.000000,0.666667,0.666667,0.615854,0.628557,0.615854,0.628557,0.435883,0.500000,0.666667,0.571429,0.922349,1.000000,1.000000,1.000000,0.667766,0.500000,1.000000,0.666667,0.359654,0.000000,0.000000,0.000000
deepseek-r1-7b,seq,2,2,2,0,1.000000,0.525315,0.372222,1.000000,0.538461,0.552067,0.600000,0.666667,0.625000,0.661350,0.550000,0.666667,0.576923,1.000000,0.583333,0.583333,0.579577,0.580516,0.579577,0.580516,0.000000,0.000000,0.000000,0.000000,0.987911,1.000000,1.000000,1.000000,0.619258,0.464286,1.000000,0.633333,0.314553,0.000000,0.000000,0.000000
llama3.1-8b,acc,2,2,2,0,1.000000,0.626424,0.422222,0.564285,0.472727,0.344305,0.100000,0.100000,0.100000,0.622653,0.600000,0.778571,0.617094,0.500000,0.500000,0.500000,0.531127,0.523346,0.531127,0.523346,0.466566,0.000000,0.000000,0.000000,0.914646,1.000000,0.428571,0.600000,0.605001,0.392857,0.564285,0.433667,0.528401,0.333334,0.125000,0.181818
llama3.1-8b,gtf,1,2,1,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.288161,0.000000,0.000000,0.000000,0.861642,1.000000,0.714286,0.833333,1.000000,1.000000,1.000000,0.383268,0.537451,0.191634,0.268726,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
llama3.1-8b,self,2,2,2,0,1.000000,0.539172,0.372222,0.700000,0.479121,0.425369,0.300000,0.350000,0.316667,0.580192,0.550000,0.600000,0.566666,0.500000,0.500000,0.500000,0.514911,0.511183,0.514911,0.511183,0.216566,0.000000,0.000000,0.000000,0.922349,1.000000,1.000000,1.000000,0.597893,0.464286,0.700000,0.540230,0.314310,0.000000,0.000000,0.000000
llama3.1-8b,seq,2,2,2,0,1.000000,0.243305,0.100000,0.375000,0.157894,0.349410,0.100000,0.250000,0.142857,0.680503,0.600000,0.458334,0.511111,0.500000,0.500000,0.500000,0.424407,0.443304,0.424407,0.443304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.281852,0.142857,0.375000,0.206897,0.153362,0.000000,0.000000,0.000000
llama3.2-1b,acc,1,2,1,1,0.500000,0.589816,0.350000,0.166667,0.225806,0.392288,0.100000,0.083333,0.090909,0.591418,0.300000,0.083333,0.130435,0.000000,0.166667,0.000000,0.524508,0.393381,0.262254,0.196690,,,,,,,,,0.673362,0.500000,0.166667,0.250000,0.394876,0.000000,0.000000,0.000000
llama3.2-1b,gtf,2,2,2,0,1.000000,0.565308,0.397222,0.833333,0.537200,0.311569,0.100000,0.333334,0.153846,0.617387,0.700000,0.833333,0.750000,1.000000,0.583333,0.583333,0.498088,0.519399,0.498088,0.519399,0.433132,0.000000,0.000000,0.000000,0.856788,1.000000,1.000000,1.000000,0.621100,0.500000,0.833333,0.619048,0.273124,0.000000,0.000000,0.000000
llama3.2-1b,self,2,2,2,0,1.000000,0.619948,0.458334,0.424243,0.324675,0.549943,0.350000,0.257576,0.258333,0.588272,0.550000,0.530303,0.497976,1.000000,0.583333,0.583333,0.586054,0.585374,0.586054,0.585374,0.785361,1.000000,0.181818,0.307692,0.856788,1.000000,0.181818,0.307692,0.643957,0.428571,0.424243,0.365891,0.403362,0.000000,0.000000,0.000000
