call1_model,strategy,cases,expected_cases,found_cases,missing_cases,generation_coverage,D1_mean_best_score,D1_coverage,D1_precision,D1_f1,D2_mean_best_score,D2_coverage,D2_precision,D2_f1,D3_mean_best_score,D3_coverage,D3_precision,D3_f1,D4_order_score,D4_order_coverage,D4_strict_order_score,overall_mean_score,overall_with_D4_score,end_to_end_overall_mean_score,end_to_end_overall_with_D4_score,D1_global_assumption_mean_best_score,D1_global_assumption_recall,D1_global_assumption_precision,D1_global_assumption_f1,D1_local_assumption_mean_best_score,D1_local_assumption_recall,D1_local_assumption_precision,D1_local_assumption_f1,D1_gt_precondition_mean_best_score,D1_gt_precondition_recall,D1_gt_precondition_precision,D1_gt_precondition_f1,D1_previous_outcome_mean_best_score,D1_previous_outcome_recall,D1_previous_outcome_precision,D1_previous_outcome_f1
deepseek-r1-1.5b,acc,2,2,2,0,1.000000,0.118704,0.150000,0.285714,0.196721,0.436623,0.600000,0.339286,0.336364,0.617606,0.700000,0.651786,0.673563,0.500000,0.583333,0.500000,0.390978,0.418233,0.390978,0.418233,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.169577,0.214285,0.285714,0.244898,0.000000,0.000000,0.000000,0.000000
deepseek-r1-1.5b,gtf,2,2,2,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.495973,0.750000,0.500000,0.570850,0.672906,0.750000,0.833333,0.757500,0.500000,0.583333,0.500000,0.389626,0.417219,0.389626,0.417219,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
deepseek-r1-1.5b,self,1,2,1,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.435038,0.500000,0.666667,0.571429,0.875003,1.000000,0.666667,0.800000,1.000000,1.000000,1.000000,0.436681,0.577510,0.218340,0.288755,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
deepseek-r1-1.5b,seq,2,2,2,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.516176,0.750000,0.655844,0.628289,0.670258,0.800000,0.727272,0.687500,0.500000,0.583333,0.500000,0.395478,0.421608,0.395478,0.421608,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
deepseek-r1-7b,acc,2,2,2,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.523888,0.750000,0.634921,0.679825,0.632588,0.800000,0.888889,0.838709,1.000000,0.583333,0.583333,0.385493,0.434952,0.385493,0.434952,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
deepseek-r1-7b,gtf,1,2,1,1,0.500000,0.209455,0.200000,0.500000,0.285714,0.362462,0.200000,0.666667,0.307692,0.279214,0.400000,0.500000,0.444444,0.000000,0.000000,0.000000,0.283710,0.212783,0.141855,0.106391,,,,,,,,,0.299222,0.285714,0.500000,0.363636,0.000000,0.000000,0.000000,0.000000
deepseek-r1-7b,self,2,2,2,0,1.000000,0.547207,0.594445,1.000000,0.701357,0.400200,0.150000,0.375000,0.214285,0.708643,0.800000,0.916667,0.829546,0.500000,0.583333,0.500000,0.552017,0.539013,0.552017,0.539013,0.729752,1.000000,0.833333,0.909091,0.730849,1.000000,0.666667,0.800000,0.549096,0.678571,0.875000,0.741935,0.394211,0.083334,0.500000,0.142857
deepseek-r1-7b,seq,2,2,2,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.472295,0.500000,0.507937,0.501961,0.676076,0.800000,0.873016,0.823529,0.500000,0.500000,0.500000,0.382790,0.412093,0.382790,0.412093,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
llama3.1-8b,acc,1,2,1,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.566445,1.000000,0.571429,0.727273,0.778166,1.000000,0.571429,0.727273,1.000000,1.000000,1.000000,0.448204,0.586153,0.224102,0.293077,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
llama3.1-8b,gtf,1,2,1,1,0.500000,0.444543,0.350000,0.875000,0.500000,0.440320,0.500000,0.750000,0.600000,0.471234,0.500000,0.875000,0.636364,0.000000,0.000000,0.000000,0.452033,0.339024,0.226017,0.169512,,,,,,,,,0.417324,0.357143,0.625000,0.454545,0.508054,0.333333,0.750000,0.461538
