call1_model,strategy,cases,expected_cases,found_cases,missing_cases,generation_coverage,D1_mean_best_score,D1_coverage,D1_precision,D1_f1,D2_mean_best_score,D2_coverage,D2_precision,D2_f1,D3_mean_best_score,D3_coverage,D3_precision,D3_f1,D4_order_score,D4_order_coverage,D4_strict_order_score,overall_mean_score,overall_with_D4_score,end_to_end_overall_mean_score,end_to_end_overall_with_D4_score,D1_global_assumption_mean_best_score,D1_global_assumption_recall,D1_global_assumption_precision,D1_global_assumption_f1,D1_local_assumption_mean_best_score,D1_local_assumption_recall,D1_local_assumption_precision,D1_local_assumption_f1,D1_gt_precondition_mean_best_score,D1_gt_precondition_recall,D1_gt_precondition_precision,D1_gt_precondition_f1,D1_previous_outcome_mean_best_score,D1_previous_outcome_recall,D1_previous_outcome_precision,D1_previous_outcome_f1
deepseek-r1-1.5b,acc,2,2,2,0,1.000000,0.119702,0.125000,0.285714,0.173913,0.446391,0.050000,0.071429,0.058824,0.622225,0.700000,0.651786,0.673563,0.833333,0.750000,0.666667,0.396106,0.463746,0.396106,0.463746,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.171003,0.178571,0.285714,0.219780,0.000000,0.000000,0.000000,0.000000
deepseek-r1-1.5b,gtf,2,2,2,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.513115,0.500000,0.333333,0.389140,0.699016,0.750000,0.666667,0.700658,0.500000,0.583333,0.500000,0.404043,0.428033,0.404043,0.428033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
deepseek-r1-1.5b,self,1,2,1,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.875003,1.000000,0.666667,0.800000,1.000000,1.000000,1.000000,0.458334,0.593751,0.229167,0.296876,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
deepseek-r1-1.5b,seq,2,2,2,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.530064,0.450000,0.474026,0.349651,0.692465,0.700000,0.655844,0.585228,0.500000,0.500000,0.500000,0.407510,0.430632,0.407510,0.430632,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
deepseek-r1-7b,acc,2,2,2,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.655404,0.750000,0.634921,0.679825,0.744284,0.850000,0.888889,0.868421,0.500000,0.583333,0.500000,0.466563,0.474922,0.466563,0.474922,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
deepseek-r1-7b,gtf,1,2,1,1,0.500000,0.264478,0.250000,0.500000,0.333333,0.440013,0.300000,0.666667,0.413793,0.429983,0.400000,0.500000,0.444444,1.000000,0.166667,0.166667,0.378158,0.325285,0.189079,0.162642,,,,,,,,,0.377825,0.357143,0.500000,0.416667,0.000000,0.000000,0.000000,0.000000
deepseek-r1-7b,self,2,2,2,0,1.000000,0.647161,0.594445,1.000000,0.701357,0.570660,0.400000,0.520833,0.348405,0.772636,0.850000,0.791667,0.816615,1.000000,0.750000,0.750000,0.663486,0.685115,0.663486,0.685115,0.729752,1.000000,0.833333,0.909091,0.867419,1.000000,0.666667,0.800000,0.624277,0.553571,0.791667,0.636672,0.734778,0.583333,0.666667,0.392857
deepseek-r1-7b,seq,2,2,2,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.506943,0.450000,0.341270,0.326203,0.731548,0.750000,0.817460,0.753289,0.500000,0.583333,0.500000,0.412830,0.434623,0.412830,0.434623,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
llama3.1-8b,acc,1,2,1,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.566445,1.000000,0.142857,0.250000,0.778166,1.000000,0.571429,0.727273,1.000000,1.000000,1.000000,0.448204,0.586153,0.224102,0.293077,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
llama3.1-8b,gtf,1,2,1,1,0.500000,0.487686,0.200000,0.750000,0.315789,0.458351,0.400000,0.500000,0.444444,0.547811,0.500000,0.750000,0.600000,0.000000,0.166667,0.000000,0.497949,0.373462,0.248974,0.186731,,,,,,,,,0.459429,0.142857,0.500000,0.222222,0.553619,0.333333,0.750000,0.461538
llama3.1-8b,self,2,2,2,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.477959,0.250000,0.214285,0.230769,0.708465,0.750000,0.746032,0.731618,0.500000,0.500000,0.500000,0.395475,0.421606,0.395475,0.421606,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
llama3.1-8b,seq,2,2,2,0,1.000000,0.323257,0.261111,0.642857,0.355769,0.482304,0.450000,0.238095,0.292929,0.703079,0.650000,0.777778,0.694805,1.000000,0.583333,0.583333,0.502881,0.522993,0.502881,0.522993,0.000000,0.000000,0.000000,0.000000,0.367419,0.500000,0.285714,0.363636,0.348645,0.303571,0.420635,0.350725,0.227305,0.083334,0.500000,0.142857
llama3.2-1b,acc,2,2,2,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.510198,0.250000,0.166666,0.200000,0.543466,0.550000,0.369048,0.426136,0.500000,0.500000,0.500000,0.351221,0.388416,0.351221,0.388416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
llama3.2-1b,gtf,2,2,2,0,1.000000,0.547014,0.583333,0.777778,0.663158,0.330276,0.100000,0.166666,0.125000,0.662370,0.700000,0.833333,0.750000,1.000000,0.583333,0.583333,0.513219,0.530748,0.513219,0.530748,0.463689,0.500000,0.500000,0.500000,0.726859,1.000000,1.000000,1.000000,0.550777,0.625000,0.777778,0.691729,0.384282,0.250000,0.214285,0.230769
llama3.2-1b,self,1,2,1,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.286347,0.000000,0.000000,0.000000,0.933199,1.000000,0.875000,0.933333,1.000000,1.000000,1.000000,0.406515,0.554887,0.203258,0.277444,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
llama3.2-1b,seq,1,2,1,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.799399,1.000000,0.444444,0.615385,0.856801,1.000000,0.666667,0.800000,1.000000,1.000000,1.000000,0.552067,0.664050,0.276033,0.332025,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
qwen2.5-coder-0.5b,acc,2,2,2,0,1.000000,0.314669,0.194445,0.625000,0.260504,0.436387,0.100000,0.300000,0.150000,0.603503,0.650000,0.775000,0.646753,0.500000,0.583333,0.500000,0.451520,0.463640,0.451520,0.463640,0.000000,0.000000,0.000000,0.000000,0.363430,0.500000,0.250000,0.333333,0.331547,0.196429,0.625000,0.250000,0.229008,0.093750,0.500000,0.157894
qwen2.5-coder-0.5b,gtf,2,2,2,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.540639,0.400000,0.297619,0.301470,0.686261,0.750000,0.785714,0.766666,0.500000,0.500000,0.500000,0.408967,0.431724,0.408967,0.431724,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
qwen2.5-coder-0.5b,self,2,2,2,0,1.000000,0.127819,0.125000,0.285714,0.173913,0.307318,0.150000,0.214285,0.176471,0.668177,0.700000,0.392857,0.500000,0.500000,0.500000,0.500000,0.367771,0.400829,0.367771,0.400829,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.182598,0.178571,0.285714,0.219780,0.000000,0.000000,0.000000,0.000000
qwen2.5-coder-0.5b,seq,2,2,2,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.519506,0.450000,0.361111,0.376068,0.628754,0.650000,0.715278,0.580547,0.500000,0.500000,0.500000,0.382753,0.412065,0.382753,0.412065,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
qwen3-0.6b,acc,1,2,1,1,0.500000,0.472084,0.444444,1.000000,0.615385,0.500000,0.000000,0.000000,0.000000,0.873046,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.615043,0.711282,0.307522,0.355641,0.171669,0.000000,0.000000,0.000000,0.838423,1.000000,1.000000,1.000000,0.498300,0.500000,1.000000,0.666667,0.235372,0.000000,0.000000,0.000000
qwen3-0.6b,self,2,2,2,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.510804,0.200000,0.300000,0.240000,0.758189,0.800000,1.000000,0.875000,0.500000,0.500000,0.500000,0.422998,0.442248,0.422998,0.442248,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
tinyllama,acc,2,2,2,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.515823,0.250000,0.166666,0.200000,0.624502,0.750000,0.638888,0.620192,0.500000,0.583333,0.500000,0.380109,0.410081,0.380109,0.410081,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
tinyllama,self,2,2,2,0,1.000000,0.189382,0.222222,0.375000,0.279070,0.518790,0.250000,0.214285,0.230769,0.672826,0.550000,0.678571,0.602941,0.500000,0.583333,0.500000,0.460333,0.470249,0.460333,0.470249,0.000000,0.000000,0.000000,0.000000,0.721813,1.000000,0.750000,0.857143,0.223349,0.250000,0.375000,0.300000,0.089223,0.000000,0.000000,0.000000
tinyllama,seq,1,2,1,1,0.500000,0.162247,0.050000,0.666667,0.093023,0.306616,0.200000,0.333333,0.250000,0.297366,0.100000,0.666667,0.173913,0.000000,0.000000,0.000000,0.255410,0.191557,0.127705,0.095779,,,,,,,,,0.231781,0.071429,0.666667,0.129032,0.000000,0.000000,0.000000,0.000000
