threshold,accuracy,balanced_accuracy,equivalent_recall,unrelated_recall
0.000000,0.333333,0.500000,1.000000,0.000000
0.010000,0.333333,0.500000,1.000000,0.000000
0.020000,0.333333,0.500000,1.000000,0.000000
0.030000,0.333333,0.500000,1.000000,0.000000
0.040000,0.333333,0.500000,1.000000,0.000000
0.050000,0.333333,0.500000,1.000000,0.000000
0.060000,0.333333,0.500000,1.000000,0.000000
0.070000,0.333333,0.500000,1.000000,0.000000
0.080000,0.333333,0.500000,1.000000,0.000000
0.090000,0.333333,0.500000,1.000000,0.000000
0.100000,0.333333,0.500000,1.000000,0.000000
0.110000,0.333333,0.500000,1.000000,0.000000
0.120000,0.333333,0.500000,1.000000,0.000000
0.130000,0.333333,0.500000,1.000000,0.000000
0.140000,0.333333,0.500000,1.000000,0.000000
0.150000,0.333333,0.500000,1.000000,0.000000
0.160000,0.333333,0.500000,1.000000,0.000000
0.170000,0.333333,0.500000,1.000000,0.000000
0.180000,0.333333,0.500000,1.000000,0.000000
0.190000,0.333333,0.500000,1.000000,0.000000
0.200000,0.333333,0.500000,1.000000,0.000000
0.210000,0.333333,0.500000,1.000000,0.000000
0.220000,0.333333,0.500000,1.000000,0.000000
0.230000,0.333333,0.500000,1.000000,0.000000
0.240000,0.333333,0.500000,1.000000,0.000000
0.250000,0.333333,0.500000,1.000000,0.000000
0.260000,0.333333,0.500000,1.000000,0.000000
0.270000,0.333333,0.500000,1.000000,0.000000
0.280000,0.333333,0.500000,1.000000,0.000000
0.290000,0.333333,0.500000,1.000000,0.000000
0.300000,0.333333,0.500000,1.000000,0.000000
0.310000,0.333333,0.500000,1.000000,0.000000
0.320000,0.333333,0.500000,1.000000,0.000000
0.330000,0.333333,0.500000,1.000000,0.000000
0.340000,0.333333,0.500000,1.000000,0.000000
0.350000,0.333333,0.500000,1.000000,0.000000
0.360000,0.333333,0.500000,1.000000,0.000000
0.370000,0.333333,0.500000,1.000000,0.000000
0.380000,0.333333,0.500000,1.000000,0.000000
0.390000,0.333333,0.500000,1.000000,0.000000
0.400000,0.333333,0.500000,1.000000,0.000000
0.410000,0.333333,0.500000,1.000000,0.000000
0.420000,0.333333,0.500000,1.000000,0.000000
0.430000,0.333333,0.500000,1.000000,0.000000
0.440000,0.333333,0.500000,1.000000,0.000000
0.450000,0.333333,0.500000,1.000000,0.000000
0.460000,0.333333,0.500000,1.000000,0.000000
0.470000,0.333333,0.500000,1.000000,0.000000
0.480000,0.333333,0.500000,1.000000,0.000000
0.490000,0.333333,0.500000,1.000000,0.000000
0.500000,0.333333,0.500000,1.000000,0.000000
0.510000,0.333333,0.500000,1.000000,0.000000
0.520000,0.333333,0.500000,1.000000,0.000000
0.530000,0.333333,0.500000,1.000000,0.000000
0.540000,0.333333,0.500000,1.000000,0.000000
0.550000,0.333333,0.500000,1.000000,0.000000
0.560000,0.333333,0.500000,1.000000,0.000000
0.570000,0.333333,0.500000,1.000000,0.000000
0.580000,0.333333,0.500000,1.000000,0.000000
0.590000,0.333333,0.500000,1.000000,0.000000
0.600000,0.333333,0.500000,1.000000,0.000000
0.610000,0.333333,0.500000,1.000000,0.000000
0.620000,0.333333,0.500000,1.000000,0.000000
0.630000,0.361111,0.520833,1.000000,0.041667
0.640000,0.361111,0.520833,1.000000,0.041667
0.650000,0.430556,0.572917,1.000000,0.145833
0.660000,0.472222,0.604167,1.000000,0.208333
0.670000,0.472222,0.604167,1.000000,0.208333
0.680000,0.486111,0.604167,0.958333,0.250000
0.690000,0.541667,0.645833,0.958333,0.333333
0.700000,0.541667,0.645833,0.958333,0.333333
0.710000,0.569444,0.656250,0.916667,0.395833
0.720000,0.625000,0.697917,0.916667,0.479167
0.730000,0.666667,0.718750,0.875000,0.562500
0.740000,0.666667,0.697917,0.791667,0.604167
0.750000,0.666667,0.687500,0.750000,0.625000
0.760000,0.694444,0.708333,0.750000,0.666667
0.770000,0.694444,0.708333,0.750000,0.666667
0.780000,0.736111,0.739583,0.750000,0.729167
0.790000,0.736111,0.718750,0.666667,0.770833
0.800000,0.722222,0.687500,0.583333,0.791667
0.810000,0.736111,0.697917,0.583333,0.812500
0.820000,0.736111,0.697917,0.583333,0.812500
0.830000,0.736111,0.687500,0.541667,0.833333
0.840000,0.750000,0.697917,0.541667,0.854167
0.850000,0.722222,0.645833,0.416667,0.875000
0.860000,0.708333,0.614583,0.333333,0.895833
0.870000,0.722222,0.614583,0.291667,0.937500
0.880000,0.722222,0.604167,0.250000,0.958333
0.890000,0.694444,0.562500,0.166667,0.958333
0.900000,0.680556,0.531250,0.083333,0.979167
0.910000,0.680556,0.520833,0.041667,1.000000
0.920000,0.666667,0.500000,0.000000,1.000000
0.930000,0.666667,0.500000,0.000000,1.000000
0.940000,0.666667,0.500000,0.000000,1.000000
0.950000,0.666667,0.500000,0.000000,1.000000
0.960000,0.666667,0.500000,0.000000,1.000000
0.970000,0.666667,0.500000,0.000000,1.000000
0.980000,0.666667,0.500000,0.000000,1.000000
0.990000,0.666667,0.500000,0.000000,1.000000
1.000000,0.666667,0.500000,0.000000,1.000000
